gene_family,n_members,n_genomes,n_diazotroph,n_non_diazo,n_genera,frac_diazotroph
GF_00318,153,153,2,151,6,0.013071895424836602
GF_00319,144,144,0,144,4,0.0
GF_00320,89,89,26,63,27,0.29213483146067415
GF_00321,83,83,0,83,4,0.0
GF_00322,46,45,0,46,3,0.0
GF_00323,92,92,0,92,4,0.0
GF_00324,75,75,0,75,4,0.0
GF_00325,73,73,0,73,3,0.0
GF_00326,162,162,0,162,4,0.0
GF_00327,101,99,0,101,3,0.0
GF_00328,147,147,0,147,4,0.0
GF_00329,82,82,0,82,2,0.0
GF_00330,209,209,111,98,57,0.5311004784688995
GF_00331,195,195,101,94,46,0.517948717948718
GF_00332,220,220,123,97,62,0.5590909090909091
GF_00333,255,255,125,130,65,0.49019607843137253
GF_00334,40,40,12,28,13,0.3
GF_00335,225,225,97,128,65,0.4311111111111111
GF_00336,93,93,79,14,24,0.8494623655913979
GF_00337,291,291,127,164,75,0.436426116838488
GF_00338,62,62,0,62,4,0.0
GF_00339,40,40,0,40,1,0.0
GF_00340,42,42,0,42,2,0.0
GF_00341,62,62,0,62,3,0.0
GF_00342,44,44,0,44,2,0.0
GF_00343,75,75,0,75,3,0.0
GF_00344,104,104,0,104,2,0.0
GF_00345,40,40,0,40,2,0.0
GF_00346,119,119,0,119,4,0.0
GF_00347,76,71,0,76,3,0.0
GF_00348,44,44,0,44,2,0.0
GF_00349,62,62,0,62,3,0.0
GF_00350,43,43,0,43,2,0.0
GF_00351,57,57,0,57,2,0.0
GF_00352,64,64,16,48,19,0.25
GF_00353,52,52,7,45,9,0.1346153846153846
GF_00354,52,52,13,39,10,0.25
GF_00355,40,40,17,23,17,0.425
GF_00356,48,48,7,41,7,0.14583333333333334
GF_00357,52,52,32,20,15,0.6153846153846154
GF_00358,48,48,13,35,11,0.2708333333333333
GF_00359,80,80,76,4,24,0.95
GF_00360,448,448,131,317,81,0.2924107142857143
GF_00361,147,147,0,147,4,0.0
GF_00362,52,52,0,52,2,0.0
GF_00363,44,44,4,40,9,0.09090909090909091
GF_00364,66,66,59,7,17,0.8939393939393939
GF_00365,242,238,115,127,63,0.47520661157024796
GF_00366,82,82,66,16,24,0.8048780487804879
GF_00367,63,63,14,49,14,0.2222222222222222
GF_00368,258,258,119,139,69,0.46124031007751937
GF_00369,55,55,54,1,10,0.9818181818181818
GF_00370,59,59,57,2,13,0.9661016949152542
GF_00371,68,68,66,2,15,0.9705882352941176
GF_00372,40,40,40,0,11,1.0
GF_00373,50,50,48,2,11,0.96
GF_00374,87,87,83,4,21,0.9540229885057471
GF_00375,77,77,15,62,16,0.19480519480519481
GF_00376,126,126,51,75,36,0.40476190476190477
GF_00377,125,125,97,28,33,0.776
GF_00378,41,41,11,30,9,0.2682926829268293
GF_00379,61,61,13,48,10,0.21311475409836064
GF_00380,55,55,13,42,11,0.23636363636363636
GF_00381,48,48,7,41,8,0.14583333333333334
GF_00382,159,159,106,53,47,0.6666666666666666
GF_00383,44,44,3,41,5,0.06818181818181818
GF_00384,57,57,8,49,11,0.14035087719298245
GF_00385,49,49,5,44,8,0.10204081632653061
GF_00386,83,83,26,57,29,0.3132530120481928
GF_00387,112,102,99,13,29,0.8839285714285714
GF_00388,102,102,22,80,25,0.21568627450980393
GF_00389,60,60,50,10,19,0.8333333333333334
GF_00390,164,164,95,69,56,0.5792682926829268
GF_00391,54,54,13,41,9,0.24074074074074073
GF_00392,217,217,110,107,64,0.5069124423963134
GF_00393,53,53,21,32,24,0.39622641509433965
GF_00394,51,51,11,40,10,0.21568627450980393
GF_00395,88,88,27,61,18,0.3068181818181818
GF_00396,92,92,32,60,21,0.34782608695652173
GF_00397,120,120,101,19,38,0.8416666666666667
GF_00398,45,45,15,30,14,0.3333333333333333
GF_00399,52,52,8,44,14,0.15384615384615385
GF_00400,63,63,42,21,35,0.6666666666666666
GF_00401,43,43,14,29,13,0.32558139534883723
GF_00402,241,241,126,115,70,0.5228215767634855
GF_00403,47,47,40,7,21,0.851063829787234
GF_00404,57,57,14,43,11,0.24561403508771928
GF_00405,58,58,13,45,12,0.22413793103448276
GF_00406,51,51,15,36,10,0.29411764705882354
GF_00407,251,251,115,136,62,0.4581673306772908
GF_00408,290,290,128,162,74,0.4413793103448276
GF_00409,50,50,0,50,3,0.0
GF_00410,95,95,0,95,4,0.0
GF_00411,142,142,0,142,4,0.0
GF_00412,72,71,0,72,4,0.0
GF_00413,41,41,0,41,3,0.0
GF_00414,93,93,0,93,4,0.0
GF_00415,44,44,0,44,2,0.0
GF_00416,51,51,0,51,3,0.0
GF_00417,56,56,0,56,3,0.0
GF_00418,145,145,0,145,4,0.0
GF_00419,147,147,0,147,4,0.0
GF_00420,77,77,0,77,4,0.0
GF_00421,49,49,0,49,2,0.0
GF_00422,70,70,0,70,3,0.0
GF_00423,54,54,0,54,3,0.0
GF_00424,56,56,0,56,3,0.0
GF_00425,42,42,0,42,2,0.0
GF_00426,71,71,69,2,16,0.971830985915493
GF_00427,51,51,51,0,13,1.0
GF_00428,63,63,62,1,15,0.9841269841269841
GF_00429,72,72,70,2,17,0.9722222222222222
GF_00430,42,42,40,2,13,0.9523809523809523
